"слово","замена","использовать"
"хаб","концентратор, центр, ядро, узел",""
"хаер","волосы",""
"харизма","личное обаяние, искра божья",""
"хедлайнер","герой заголовков",""
"хедхантер","охотник за головами",""
"хенд-мейд","рукоделие, рукотворное, ручной работы",""
"хеппенинг","событие",""
"хеппи-энд","счастливый конец",""
"хит","удача, попадание",""
"хит-парад","чествование лучших",""
"хобби","увлечение",""
"холдинг","компания владелец, объединение",""
"холерик","живчик",""
"хоррор","фильм ужасов, ужастик",""
"хостинг","разместитель",""
"хотдог","сосиска в тесте",""
"хэндмэйд","рукоделие, рукотворное, ручной работы",""
"цмс","",""
"чат","общалка, беседка",""
"челлендж","вызов",""
"чипсы","хлопья, шкварки, ломтики",""
"шансон","песня",""
"шансоньетка","(ресторанная) певичка",""
"шеф","глава",""
"шовинизм","чванство, презрение",""
"шоп","магазин",""
"шопинг","покупки, делать покупки",""
"шоу","показ, телепередача, телевизионная программа, зрелище, балаган",""
"шоумен","затейник, балаганщик",""
"шпингалет","задвижка",""
"штендер","стенд, стойка, выноска",""
"эбаут","про,про нас,о нас",""
"эгоист","себялюбец",""
"эквивалент","равнозначность",""
"экзистенциальный","существующий",""
"экзитпол","опрос проголосовавших",""
"экс-","бывший",""
"эксклюзивный","исключительный",""
"эксперимент","опыт, испытание",""
"эксперт","знаток",""
"экспертиза","оценка",""
"экспозиция","выкладка",""
"экспорт","вывоз",""
"экстерьер","внешность",""
"экстремальный","запредельный, крайний",""
"экшн","действо",""
"электорат","избиратели",""
"элоквенция","красноречие",""
"эмбарго","торговый запрет",""
"эмбрион","зародыш",""
"эмоциональный","чувствительный",""
"эмоция","чувствование",""
"энвайрнмент","среда",""
"эра","летосчисление",""
"эскалация","обострение",""
"эстимейт","оценка",""
"этап","шаг, стадия",""
"юзер","пользователь, потребитель",""
"юриспруденция","правоведение",""
"юстировка","выверка, пригонка",""
